27.6,0.8,0.7259823381900787,0.1,2.4,0.9,90,0.1428571492433548,0.7,1,10.5,3,43.1,2,2,0
31.5,0.2,0.7211320608854294,0,1.8,0.9,86.3,0,0.7,1.6,8.1,2.6,37.8,2,2,0
37.9,0.5,0.7801012635231018,0.1,2.3,1,90,0.1666666716337204,0.6,2.3,9.8,3.6,46.2,2,2,0
36.6,0.6,0.7644042909145355,0.1,2.4,1,90,0.1666666716337204,0.6,1.1,10.7,3.5,46.1,2,3,0
30,0.8,0.7609626054763794,0,2.9,1.4,90,0,0.3,1.2,10.3,2.4,44.2,2,3,0
39.7,0.5,0.7706968724727631,0.1,1.9,0.8,89,0.1428571492433548,0.7,2,10.3,3.4,46.7,2,2,0
26.7,1.4,0.7736421406269074,0.3,3.3,1.8,86.1,0.25,1.2,1.4,10.9,3.7,47.3,4,2,0
27,1.5,0.7810334503650666,0.2,2.6,1.3,89,0.1428571492433548,1.4,1.2,10.4,3.4,46.3,4,1,0
25.2,1.5,0.8040451169013977,0.2,2.1,1.1,88.5,0.1428571492433548,1.4,2.6,10.6,3.5,45.8,4,2,0
24,1.6,0.8103943228721618,0.2,2.3,1.1,84.5,0.1428571492433548,1.4,2,10.7,3.8,47.1,4,2,0
27,1.5,0.7679565250873566,0.2,3.1,1.7,87.5,0.1428571492433548,1.4,1.6,10.4,3.4,45.1,4,2,1
9.5,0.7,0.690627709031105,0.1,0.7,0.2,56.5,0.09090909361839294,1.1,2.3,12.6,4.2,47.1,0,0,0
9.1,0.8,0.6945238143205643,0.1,0.9,0.2,57.8,0.09090909361839294,1.1,1.8,11.7,3.8,46.8,5,1,0
9,0.9,0.6689682602882385,0,0.9,0.2,57.8,0,1,1.5,11.4,3.6,46.9,4,1,1
8.9,1,0.6745238184928894,0.1,0.6,0.1,56.6,0.07692307978868484,1.3,1.1,11.5,3.9,47.6,5,1,0
8.9,1,0.6745238184928894,0.1,0.7,0.2,56.2,0.07692307978868484,1.3,1.2,11.4,3.8,46.5,0,0,0
9.9,0.9,0.6878571540117264,0.1,0.7,0.2,62.4,0.07692307978868484,1.3,1.3,11.3,3.5,46.1,0,0,0
9.2,0.9,0.6807142972946167,0.1,0.6,0.2,55.9,0.1111111119389534,0.9,2.1,11,3.3,45.8,4,1,0
8.4,0.8,0.6774175941944123,0.1,0.4,0.2,51.4,0.10000000149011612,1,1.1,11.4,3.5,46.9,5,1,0
8.9,0.6,0.6440842628479004,0.1,0.3,0.1,51.8,0.10000000149011612,1,1.6,12.4,3.9,45.5,0,0,0
43.9,0.2,0.8070130944252014,0,1.2,0.8,82,0,0.9,1.1,9.6,3.1,43.3,2,3,0
45.9,0.4,0.7941715896129609,0,0.3,0.3,90,0,0.9,0.8,10.3,3.6,42.6,2,5,0
52.4,0.2,0.8532914102077485,0,0.8,0.4,82,0,0.7,1.3,9.9,3.1,43.9,2,5,0
46.3,0.3,0.8213290691375732,0,0.8,0.6,90,0,1.2,2,11.4,3.8,44.2,2,4,0
49.6,0,0.8376745283603668,0,0.4,0.1,90,0,1.4,1.7,11.3,4.3,44.8,2,4,0
42.7,0.3,0.8195225656032562,0,0.2,0.2,82.4,0,1.1,0.9,10,3.7,42.1,2,3,0
47.3,0.2,0.8146624028682709,0,0.9,0.6,90,0,1.1,1.4,10.1,3.3,42.6,2,4,0
41.6,0.1,0.8376281559467316,0,0.5,0.4,82.4,0,0.9,2.4,10.1,3.7,40.8,2,4,0
54,0,0.8509427666664123,0,0.2,0,90,0,1.6,1.5,11.2,4.1,46.8,2,4,0
50.1,0.2,0.846111923456192,0,0.7,0.3,82,0,0.7,1.7,9,2.6,44.6,2,3,0
13.8,0.7,0.6413045465946198,0.1,0.9,0.4,35.3,0.05000000074505806,2,1.2,16.9,5.7,53.8,0,0,0
14.9,0.4,0.6175000011920929,0,1.2,0.6,37.4,0,1.5,1.7,12.8,4.7,54.2,0,0,0
12.7,1.1,0.5696581214666366,0,1.6,1.2,45.1,0,1.2,1.5,17,5.4,53.7,0,0,0
12.7,0.5,0.7448989927768708,0,1.1,0.6,31.5,0,1.7,1.2,14.2,5,52.6,5,1,1
11.7,0.5,0.7379545509815216,0,1.1,0.6,29,0,1.6,1.2,14.4,5.2,54.3,5,1,0
26,1,0.8491510510444641,0.2,3.8,1.7,67.1,0.1111111119389534,1.8,0.4,16.6,5.2,56.1,0,0,0
