0.1,0.1,0,89,1.9,0.8,0,0.8,1.7,10.2,3.2,46.1,2,2,0
0.1,0.1,0,90,2.3,1,0,0.6,1.6,10.5,3.6,47.2,2,2,0
0.4,0.1,0,90,2.4,0.9,0,0.7,1,10.5,3,43.1,2,2,1
0.4,0.1,0,90,2.7,1.1,0,0.5,0.9,9.8,2.6,42.7,2,2,0
0.1,0.1,0,89,2.1,1,0,0.7,0.7,9.3,2.9,44.6,2,2,0
0.2,0.1,0,90,2.5,1.1,0,0.6,1.8,11,3.4,45.5,2,3,0
0.1,0.1,0,89,1.9,0.8,0,0.7,2,10.3,3.4,46.7,2,2,0
0.6,0.4,0.1,86.1,2.9,1.4,0.07692307978868484,1.3,1.5,11.9,4.1,50.1,4,2,0
0.7,0.4,0.1,87.5,3.1,1.7,0.0714285746216774,1.4,1.6,10.4,3.4,45.1,4,2,1
0.6,0.3,0,89,2.6,1.3,0,1.4,1.2,10.4,3.4,46.3,4,1,2
0.6,0.4,0.1,88.5,2.1,1.1,0.0714285746216774,1.4,2.6,10.6,3.5,45.8,4,2,1
1.5,0.7,0.2,56.5,0.7,0.2,0.1818181872367859,1.1,2.3,12.6,4.2,47.1,0,0,0
1.1,0.5,0.2,57.8,0.9,0.2,0.1818181872367859,1.1,1.8,11.7,3.8,46.8,5,1,4
1,0.4,0.3,57.8,0.9,0.2,0.30000001192092896,1,1.5,11.4,3.6,46.9,4,1,4
1.1,0.5,0.4,56.6,0.6,0.1,0.3076923191547394,1.3,1.1,11.5,3.9,47.6,5,1,1
0.9,0.4,0.3,56.2,0.7,0.2,0.23076923191547394,1.3,1.2,11.4,3.8,46.5,0,0,2
0.9,0.4,0.3,62.4,0.7,0.2,0.23076923191547394,1.3,1.3,11.3,3.5,46.1,0,0,0
0.8,0.3,0.2,55.9,0.6,0.2,0.2222222238779068,0.9,2.1,11,3.3,45.8,4,1,1
0.8,0.3,0.2,51.4,0.4,0.2,0.20000000298023224,1,1.1,11.4,3.5,46.9,5,1,1
0.7,0.3,0.2,51.8,0.3,0.1,0.20000000298023224,1,1.6,12.4,3.9,45.5,0,0,1
0.4,0.2,0.1,82.4,0.4,0.4,0.07692307978868484,1.3,0.8,10.6,4.2,40,2,3,0
0.2,0.1,0.1,90,0.4,0.1,0.10000000149011612,1,1.3,9.1,3.3,48.4,2,4,0
0.3,0.2,0.1,90,0.1,0.1,0.0714285746216774,1.4,1.2,9.3,3.3,41.4,2,4,0
0.3,0.2,0.1,90,0.2,0,0.0714285746216774,1.4,1.8,11.3,4.3,45.6,2,4,1
0.6,0.2,0.1,90,0.3,0.3,0.10000000149011612,1,1.3,11.3,3.9,42.3,2,3,0
0.5,0,0,90,0.8,0.3,0,1.7,1.625,11.4,4.7,40.1,2,3,0
0.6,0.1,0,82.4,0.4,0.4,0,1.1,1.8,10.3,3.6,43.3,2,3,0
0.4,0.3,0.2,90,0.5,0.2,0.1818181872367859,1.1,0.9,8.6,3.1,47.2,2,4,0
0.3,0.2,0.1,90,0.6,0.2,0.0714285746216774,1.4,1.4,10.9,4.3,45.6,2,4,0
0.4,0.2,0.1,32.9,0.8,0.4,0.0476190485060215,2.1,0.5,15.9,5.8,53.3,0,0,0
0.1,0,0,51.2,1.7,1.2,0,1.1,1.2,16.5,5.1,54.5,0,0,0
0.5,0,0,43.7,1.9,0.9,0,2,0.7,14.1,5,48.4,0,0,1
0.3,0.2,0.1,33.6,0.9,0.4,0.05000000074505806,2,1.2,15.8,6.2,53.4,0,0,0
1,0.3,0.1,36.4,1.6,0.8,0.043478261679410934,2.3,2.1,17.4,5.8,54.8,0,0,0
0.7,0.5,0.3,53,1.8,0.9,0.13636364042758942,2.2,0.5,15.3,5.1,51,5,1,2
0.7,0.5,0.3,39.3,1.2,0.5,0.1428571492433548,2.1,1.1,14.1,5.2,50.1,5,1,0
0.3,0.2,0.1,43.8,1.5,1,0.0555555559694767,1.8,1.7,17.8,6.2,53.3,3,1,0
0.3,0.2,0,31.4,1.7,0.9,0,0.9,1.4,11.2,4.2,45.6,4,2,0
0.2,0.2,0,23.2,1.2,0.5,0,1.1,1.5,10.6,4.1,43.8,4,3,1
0.2,0.2,0,21.6,1.1,0.5,0,1.1,0.5,10.9,4.1,46.2,0,0,0
0.1,0.1,0,14.3,0.7,0.3,0,1.2,1.6,10.9,4.2,46.5,3,2,1
0.1,0.1,0,14.3,0.7,0.3,0,1.3,1,11.3,4.2,49.5,0,0,0
0.9,0,0,74.9,1.3,0.9,0,0.7,1,12.2,3.3,46.6,2,1,0
0.9,0,0,74.9,1.5,1,0,0.8,1.4,13,3.6,49.1,2,1,0
0.8,0,0,74.9,1.5,1,0,0.7,1.8,13.4,3.7,49.1,2,1,1
0.6,0,0,74.9,1.4,0.9,0,1,1.1,13.3,3.6,49.9,2,1,2
0.6,0,0,75.9,1.6,1.1,0,1.1,0.9,12.7,4,50.2,2,1,2
0.5,0,0,67.7,1.4,0.9,0,1,1.6,12.9,3.9,46.9,2,1,1
0.5,0,0,69.9,1.4,0.9,0,1.1,1.4,12.1,3.5,47.9,3,3,1
0.5,0,0,61.7,1.2,0.9,0,1.2,1.9,11.4,3.5,46,2,1,0
0.5,0,0,62.2,1.2,0.9,0,1.3,1.3,11.6,3.7,45,0,0,0
0.3,0.2,0,86.2,1.6,0.6,0,1.4,1.5,12.2,4.8,42.7,3,2,1
0.7,0.3,0,90,1.6,1.2,0,1.3,1.1,8.7,3.5,43.3,3,2,0
