1.1,57.9,0,0.1,0.9,51.9,2,2,2
1.1,57.9,0,0,1.1,53.5,3,3,1
0.9,57.9,0,0,1,57.8,2,1,3
1.1,55.2,0,0,1,47.1,2,2,0
1.2,55.2,0,0,1.1,48.3,2,2,1
2.1,84.9,0,0.1,1.6,40.6,4,2,3
2.1,84.8,0,0.1,1.5,44.8,4,2,2
2.5,86.4,0,0.1,1.4,48.9,4,3,0
2.9,86.4,0,0.1,1.6,52.3,4,2,0
2.9,85.7,0,0.2,1.5,65.5,3,1,2
0.6,56.1,0.3,0.1,0.3,47.5,4,1,1
0.7,55.6,0.2,0.1,0.3,45.1,0,0,0
0.7,56.2,0.2,0.1,0.3,54.2,4,2,0
0.7,56.5,0.2,0.1,0.2,47.1,0,0,0
0.9,57.8,0.2,0.1,0.3,43.5,5,1,0
0.7,90,0,0,2.1,62.6,2,2,1
0.6,90,0,0,2.4,51.2,2,4,1
0.5,90,0,0,1.8,45.1,2,4,1
0.7,90,0,0,2,54.9,2,4,0
1,90,0,0,1.9,53,2,4,0
1.9,50.7,0,0.2,0.8,48.7,0,0,0
1.7,50.1,0.2,0.2,0.8,51.8,3,1,3
1.6,47.7,0.2,0.1,0.8,41.9,3,1,3
1.4,44.4,0.2,0.1,0.3,51.4,3,1,3
1.6,44.5,0.3,0,0.3,45,3,1,0
2.4,51.3,0,0,1.9,43.9,3,1,1
2.1,44.6,0,0,1.7,48.2,0,0,3
2,38.4,0,0,1.5,60.7,4,2,1
1.7,31.4,0,0,1.3,45.5,4,2,5
1.2,23.2,0,0,0.5,47,4,3,5
1.3,74.9,0,0,2.1,41.1,2,1,5
1.5,74.9,0,0,2.3,55.3,2,1,0
1.5,74.9,0,0,2.3,47.9,2,1,0
1.4,74.9,0,0,2.1,57.6,2,1,3
1.6,75.9,0,0,1.9,48.6,2,1,2
0.8,77.4,0,0.1,3.3,53.5,3,1,1
0.7,78.7,0,0.1,3.2,56,3,2,1
0.7,78.7,0,0.1,3.4,49.8,2,1,0
0.7,80.1,0,0.1,3.1,45.6,3,2,1
0.8,81,0,0.1,3.2,44.7,3,2,0
1.4,41.2,0,0.2,0.3,46.7,5,1,0
1.5,41.4,0,0.2,0.3,54.6,0,0,0
1.3,37.6,0.1,0.2,0.2,56.1,4,1,2
1.5,39.7,0.1,0.2,0.2,44.1,0,0,0
1.3,36.2,0.1,0.2,0.2,48.7,0,0,2
0.4,13.3,0,0,0,41.2,0,0,0
0.4,13,0,0,0,57,0,0,0
0.3,11.9,0,0,0,44.5,0,0,1
0.3,11.9,0,0,0,54.7,0,0,0
1.7,62.6,0.2,0.2,0.5,45,4,2,1
1.8,62.8,0.2,0.3,0.5,45.4,4,1,3
2.4,68.8,0.1,0.2,0.5,46.8,0,0,2
2.4,74.7,0.2,0.2,0.9,45.8,0,0,0
2.5,82,0.2,0.2,0.8,57.1,0,0,2
0.4,89.1,0.1,0,1.4,47.1,2,2,1
0.4,86.4,0.1,0,1.2,40.5,2,2,0
0.4,86.4,0.1,0,1,61.6,2,2,0
0.4,87.3,0.1,0,1.2,49.8,2,2,0
0,22.5,0,0,0.3,59.7,0,0,0
0,31.5,0,0,0.3,51,0,0,0
0,40.5,0,0,0.4,46.7,0,0,0
0,40.5,0,0,0.4,45.7,0,0,0
0,40.5,0,0,0.4,41,0,0,0
1.3,79.1,0.1,0.2,1.4,51.8,4,3,0
1.2,76.1,0.1,0.1,1.5,46,3,3,2
1.1,75.2,0.1,0.1,1.6,48.5,4,2,1
1,75.8,0.2,0.1,1.4,45.1,3,1,1
0.8,75.8,0.1,0.1,1.4,51,4,2,2
0.8,13.1,0,0,0.3,52.3,0,0,0
0.8,12,0,0,0.2,52.1,0,0,0
0.9,13.1,0,0,0.2,50.7,0,0,0
0.9,13.2,0,0,0.2,45.6,0,0,0
1.2,15.2,0,0,0.2,49.8,0,0,0
0,66.9,0,0.1,1,44.4,2,2,0
0,75.9,0,0.1,1,43.6,0,0,0
0,75.9,0,0.1,0.8,40.9,2,2,0
0,68.2,0,0.1,0.7,56.1,2,2,0
0,68.2,0,0.1,0.8,59.3,2,2,0
1.2,54.3,0.1,0.1,1.3,47.7,2,2,0
0.8,48.7,0.1,0.1,1.3,53.1,2,4,5
0.7,46.6,0,0.1,1.4,42.1,2,2,3
0.7,37.6,0,0.1,1.3,50.6,2,2,0
0.9,37.6,0,0.1,1.3,50.3,2,3,0
1,78,0.2,0.1,0.9,44.2,4,1,0
0.9,78.5,0.2,0,0.7,46.2,5,2,1
1.2,78.5,0.2,0.1,0.8,35.7,5,2,0
1.3,76.6,0.2,0.1,0.7,51.6,4,1,2
1.3,76.6,0.2,0.1,0.8,59.1,4,1,0
0.7,89.7,0,0,3.9,40.6,3,1,0
0.9,89.7,0,0,3.9,44.8,3,1,1
