0,0,0.1,0.1,90,2.4,1,0.6,1.1,2,3,0
0,0,0,0,86.3,1.6,0.7,0.7,2,0,0,0
0,0,0.3,0.1,90,2.4,0.9,0.7,1.7,2,3,0
0,0,0.2,0.1,90,2.5,1.1,0.6,1.8,2,3,0
0,0,0.6,0.3,89,2.6,1.3,1.4,1.2,4,1,1
0.1,0.0833333358168602,0.7,0.5,86.1,3.3,1.8,1.2,1.4,4,2,0
0.1,0.07692307978868484,0.6,0.4,86.1,2.9,1.4,1.3,1.5,4,2,0
0.1,0.0625,0.7,0.4,88.3,2.8,1.3,1.6,0.8,4,2,0
0.1,0.0714285746216774,0.7,0.4,87.5,3.1,1.7,1.4,1.6,4,2,0
0.2,0.1818181872367859,1.5,0.7,56.5,0.7,0.2,1.1,2.3,0,0,0
0.2,0.1818181872367859,1.1,0.5,57.8,0.9,0.2,1.1,1.8,5,1,0
0.3,0.30000001192092896,1,0.4,57.8,0.9,0.2,1,1.5,4,1,0
0.4,0.3076923191547394,1.1,0.5,56.6,0.6,0.1,1.3,1.1,5,1,0
0.3,0.23076923191547394,0.9,0.4,56.2,0.7,0.2,1.3,1.2,0,0,1
0.3,0.23076923191547394,0.9,0.4,62.4,0.7,0.2,1.3,1.3,0,0,0
0.2,0.2222222238779068,0.8,0.3,55.9,0.6,0.2,0.9,2.1,4,1,1
0.2,0.20000000298023224,0.8,0.3,51.4,0.4,0.2,1,1.1,5,1,0
0.2,0.20000000298023224,0.7,0.3,51.8,0.3,0.1,1,1.6,0,0,0
0.1,0.0555555559694767,0.4,0.2,90,0.2,0,1.8,1.2,2,4,0
0,0,0.6,0.1,82.4,0.3,0.3,0.8,1,2,3,0
0,0,0.5,0.1,82.4,0.2,0.2,1.1,0.9,2,3,0
0,0,0.8,0.2,82,1.2,0.8,0.9,1.1,2,3,0
0,0,0.5,0.1,90,0.3,0.3,1.1,1.2,2,4,0
0.1,0.0833333358168602,0.7,0.3,90,0.8,0.6,1.2,2,2,4,0
0.1,0.0714285746216774,0.3,0.2,90,0.1,0.1,1.4,1.2,2,4,0
0.1,0.05882352963089943,0.4,0.2,90,0.2,0,1.7,1.6,2,4,0
0,0,0.7,0.2,90,0.9,0.6,1.1,1.4,2,4,1
0,0,0.3,0.1,41.2,1.8,0.8,1.5,1.3,0,0,0
0,0,0.1,0,38.5,1.4,1,1.5,1.2,4,1,1
0.1,0.06666667014360428,0.3,0.2,37.4,1.2,0.6,1.5,1.7,0,0,0
0.3,0.13636364042758942,0.7,0.5,47.8,1.4,0.6,2.2,1.6,5,1,0
0,0,0.9,0.1,67.5,3.3,1.5,1.4,1.4,0,0,0
0,0,0.1,0,51.2,1.7,1.2,1.1,1.2,0,0,0
0.3,0.1428571492433548,0.7,0.5,39.3,1.2,0.5,2.1,1.1,5,1,0
0.4,0.23529411852359772,0.9,0.6,67.8,3.5,1.6,1.7,1.3,5,1,0
0.3,0.1428571492433548,0.6,0.4,37.2,1.2,0.7,2.1,1.1,4,2,0
0.5,0.2083333283662796,1.1,0.7,74.6,3,1.3,2.4,2.3,0,0,1
0,0,0.3,0.2,31.4,1.7,0.9,0.9,1.4,4,2,0
0,0,0.2,0.2,23.2,1.2,0.5,1.1,1.5,4,3,0
0,0,0.2,0.2,21.6,1.1,0.5,1.1,0.5,0,0,0
0,0,0.1,0.1,14.3,0.7,0.3,1.2,1.6,3,2,0
0,0,0.1,0.1,14.3,0.7,0.3,1.3,1,0,0,0
0,0,0.9,0,74.9,1.3,0.9,0.7,1,2,1,0
0,0,0.9,0,74.9,1.5,1,0.8,1.4,2,1,0
0,0,0.8,0,74.9,1.5,1,0.7,1.8,2,1,0
0,0,0.6,0,74.9,1.4,0.9,1,1.1,2,1,0
0,0,0.6,0,75.9,1.6,1.1,1.1,0.9,2,1,0
0,0,0.5,0,67.7,1.4,0.9,1,1.6,2,1,0
0,0,0.5,0,69.9,1.4,0.9,1.1,1.4,3,3,0
0,0,0.5,0,61.7,1.2,0.9,1.2,1.9,2,1,0
0,0,0.5,0,62.2,1.2,0.9,1.3,1.3,0,0,0
0,0,0.5,0.1,83.3,1.9,1.2,0.5,1.5,4,4,0
0.2,0.125,0.3,0.3,62,0.7,0.4,1.6,1.5,3,3,0
0,0,0.5,0.1,83.2,1.6,0.9,0.6,0.7,3,2,0
0,0,0.4,0.2,82.8,0.7,0.5,0.9,2,3,2,0
0.2,0.1818181872367859,0.9,0.5,81.6,1.1,1,1.1,1.3,3,4,0
0,0,0.5,0.1,90,2.5,1.9,0.5,1.5,3,3,0
