47.7,0.2,1,0.1,18.6,0.6340323984622955,0.8,0.2,5.8,0.9,0.8,0,0,0.1,3,1,0.9,13.1,55.3,444,0.8054855167865753,2.1,0.1,1,14.6,41.9,329.8,0.6847544431686401,2.6,0.2,1,0,0
44.4,0.2,0.8,0.1,15.2,0.5919271349906922,0.3,0.2,5,1,0.7,0,0,0.1,3,1,0.9,12.4,52.2,422.8,0.7950271904468537,2.3,0.2,0.8,13.2,51.4,448,0.8138674855232239,2.2,0,2,0,0
44.5,0.3,0.8,0,14.2,0.6056176066398621,0.3,0.1,5.1,1.1,0.7,0,0,0.2,3,1,0.8,11.8,50.6,417.7,0.7869104266166687,2.4,0.2,2,10.7,45,404.4,0.7982549250125885,2,0.3,0,0,0
51.3,0,0.5,0,29.7,0.7583538591861725,1.9,0.5,7.5,0.7,0.8,0,0,0,3,1,2,13.7,45.3,426.7,0.8208036422729492,1.7,0,1.5,12.9,43.9,376.1,0.7681707620620728,1.9,0,0,0,0
44.6,0,0.4,0,24.9,0.6708538591861725,1.7,0.4,6.7,0.7,0.8,0,0,0,0,0,2.1,13.1,43.7,402.1,0.8151927173137665,1.5,0,1.3,10.9,48.2,424.3,0.785130524635315,2.4,0.1,0,0,0
38.4,0,0.3,0,21,0.5759820640087128,1.5,0.3,6.3,0.7,0.7,0,0,0,4,2,1.9,13.2,45.3,401.9,0.8120214104652405,1.6,0,1.2,9,60.7,635.1,0.9054343700408936,1.5,0.1,1,0,0
31.4,0,0.3,0,19.3,0.5764094173908234,1.3,0.2,5.4,0.7,0.5,0,0,0,4,2,1.8,13.1,45.6,405.4,0.809353131055832,1.5,0,1.4,10.6,45.5,428.8,0.8205714344978332,1.3,0.1,2,0,0
23.2,0,0.2,0,14.1,0.5769841253757477,0.5,0.3,3.5,0.6,0.3,0,0,0,4,3,2.2,12.7,43.8,391.8,0.8052208423614502,1.6,0,1.5,13.9,47,384.5,0.7632952570915222,1.8,0.2,2,0,0
74.9,0,0.9,0,41.5,0.8838025450706481,2.1,1.1,10.3,1.5,1.9,0,0,0.4,2,1,1.8,13.3,46.6,422.4,0.7827615737915039,2.2,0,1,14,41.1,374.4,0.7751534581184387,2.2,0.1,4,0,0
74.9,0,0.9,0,42.1,0.8778501629829407,2.3,0.9,10.6,1.5,1.8,0,0,0.4,2,1,1.8,13.7,49.1,444.5,0.7976076364517212,2.1,0,1.4,12.7,55.3,508,0.8115609765052796,1.8,0,2,0,0
74.9,0,0.8,0,40.8,0.8649314999580383,2.3,0.9,10.1,1.2,1.6,0,0,0.4,2,1,1.7,13.6,49.1,440.7,0.786375880241394,2.2,0,1.8,12.8,47.9,434.5,0.8133426547050476,1.6,0,2,0,0
74.9,0,0.6,0,40.9,0.8684074342250824,2.1,0.6,9.7,1.2,1.7,0,0,0.4,2,1,2,13.5,49.9,453.3,0.7973680198192596,2.2,0,1.1,15.2,57.6,538.7,0.8335531294345856,1.6,0,1,0,0
75.9,0,0.6,0,40.6,0.875561648607254,1.9,0.7,9.4,1.3,1.3,0,0,0.3,2,1,1.8,13.7,50.2,453.1,0.7868810772895813,2.2,0,0.9,13.4,48.6,446.1,0.8325817823410034,2.4,0.4,4,1,0
77.4,0,0.3,0.1,36.9,0.8699532508850097,3.3,1.1,8.7,0.8,0.9,0,0,0.1,3,1,1.6,10.2,45.8,426.9,0.8123513758182526,0.8,0,1.1,12,53.5,502.5,0.8279776751995087,1.2,0.4,0,0,0
78.7,0,0.3,0.1,38.3,0.8796754717826843,3.2,1.2,8.3,1,0.8,0,0,0.2,3,2,1.4,10.3,46.4,429.1,0.8130738496780395,1.1,0.1,1.2,12.5,56,529.3,0.8486415922641755,1.7,0.2,2,0,0
78.7,0,0.4,0.1,39.3,0.8780450344085693,3.4,1.2,8.9,1,0.9,0,0,0.2,2,1,1.3,10.6,46.5,432.8,0.8189664900302887,1.1,0.1,1.1,14.2,49.8,438,0.8035702228546142,2.1,0.1,0,0,0
80.1,0,0.4,0.1,38.5,0.8992831289768219,3.1,1.1,8.5,0.9,0.9,0,0,0.2,3,2,1.4,10.6,45.5,428.8,0.8205714344978332,1.3,0.1,1.8,13.1,45.6,405.4,0.809353131055832,1.5,0,1,0,0
81,0,0.4,0.1,37.5,0.9027751922607422,3.2,1.2,8.3,0.9,0.7,0,0,0.2,3,2,1.3,9.9,44,415,0.8141420960426331,1.1,0.1,2,11.4,44.7,362.5,0.7461742579936981,2.4,0.2,2,0,0
41.2,0,0.7,0.2,9.8,0.6779704988002777,0.3,0.3,7,0.2,0.6,0,0,0,5,1,1.2,14.5,44.6,385.7,0.7724514186382294,1.6,0,1.6,9.4,46.7,447.5,0.8055499076843262,1.5,0.1,1,0,0
41.4,0,0.8,0.2,10.3,0.6696371674537659,0.3,0.2,7.8,0.2,0.8,0,0,0,0,0,1.6,14.6,45,375.7,0.7691228508949279,1.9,0,0.6,12.2,54.6,534,0.8308660387992859,2.1,0.1,0,0,0
37.6,0.1,0.9,0.2,10.5,0.6696371674537659,0.2,0.3,6.7,0.2,0.8,0,0,0,4,1,1.7,13.4,45.4,382.9,0.766850745677948,1.8,0,1.4,11,56.1,528.6,0.8474234938621521,2,0.1,1,0,0
39.7,0.1,0.9,0.2,11.2,0.6196371674537658,0.2,0.3,8.1,0.3,0.9,0,0,0.1,0,0,1.6,13.8,42.7,363.8,0.7440842270851136,1.9,0,1.3,13,44.1,371.3,0.7689073264598847,1.2,0,1,0,0
36.2,0.1,0.9,0.2,10.1,0.5287280738353729,0.2,0.2,7.6,0.2,0.9,0,0,0.1,0,0,1.4,12.9,43.4,375.5,0.7430163562297821,1.9,0,1.3,13.9,48.7,459.1,0.8024379789829255,1.7,0.2,0,0,0
13.3,0,0,0,2.1,0.5625,0,0,1.8,0.1,0.2,0,0,0.1,0,0,1.9,12.7,44.5,398.5,0.7568369030952453,1.5,0,1.5,15.6,41.2,331.8,0.7061330735683441,2.7,0,0,0,0
13,0,0,0,1.9,0.4625,0,0,1.8,0.1,0.2,0,0,0.1,0,0,2,13,42.5,377.2,0.7368708193302155,1.5,0,1.4,10.8,57,535.2,0.8310667395591735,2,0,0,0,0
11.9,0,0,0,1.8,0.3625,0,0,1.7,0.1,0.2,0,0,0.1,0,0,2,12.7,42,370.9,0.7342039406299591,1.5,0,1.3,14.2,44.5,394.9,0.74024618268013,2.2,0,0,0,0
11.9,0,0,0,1.8,0.2958333343267441,0,0,1.7,0.2,0.2,0,0,0.1,0,0,2,13.6,41.1,360.3,0.7271640539169312,1.7,0,1.1,12.1,54.7,522.6,0.80631805062294,1.5,0,0,0,0
62.6,0.2,1.6,0.2,14.8,0.7722815215587616,0.5,0.6,6.8,1.3,1.1,0,0,0.2,4,2,1.9,12.2,52.3,446.9,0.7955656349658966,1.6,0.1,2.2,13.1,45,421.1,0.7912460207939148,1.9,0,2,1,0
62.8,0.2,1.6,0.3,15.3,0.7562815189361572,0.5,0.5,6.6,1.3,1,0,0,0.2,4,1,2,11.8,50.2,426.7,0.788600766658783,1.9,0.2,1.5,13.5,45.4,390.4,0.7791698336601257,2.1,0,1,0,0
68.8,0.1,1.8,0.2,18,0.7562815189361572,0.5,0.6,7.6,1.4,1.2,0,0,0.2,0,0,2.2,11.9,50.4,436.8,0.7873342335224152,1.8,0.2,1.9,12.6,46.8,417.5,0.817240709066391,1,0.2,0,0,0
74.7,0.2,2,0.2,18.8,0.7562815189361572,0.9,0.7,8.6,1.6,1.1,0,0,0.2,0,0,2.2,12.1,48.8,419.1,0.7815032482147217,1.6,0.2,1.4,13.6,45.8,377.1,0.7621365308761596,1.5,0.2,1,0,0
82,0.2,2.1,0.2,21,0.7312815189361572,0.8,0.7,9,1.8,1.3,0,0,0.2,0,0,1.8,12.5,50.6,426.2,0.7863713264465332,1.5,0.2,1.3,12.6,57.1,533,0.851397579908371,1.4,0.1,0,0,0
89.1,0.1,0.7,0,42.8,0.8284329295158386,1.4,1.4,7.6,0.4,0.9,0,0.1,0.5,2,2,1.4,14,50.2,444.9,0.7400676190853119,3,0.1,2,14.3,47.1,394.7,0.7660085320472717,2.4,0,0,0,0
86.4,0.1,0.6,0,42.1,0.8181029438972474,1.2,1.5,7.5,0.4,0.8,0,0.1,0.5,2,2,1.9,13.7,48.2,435.5,0.740887051820755,2.9,0.1,1.9,14.2,40.5,378.5,0.7334175884723664,1.8,0,1,0,0
86.4,0.1,0.5,0,43.1,0.7995911478996277,1,1.4,7.2,0.4,0.8,0,0.1,0.5,2,2,1.9,14.6,50.8,456.7,0.7477620542049408,3.1,0.1,1,12.1,61.6,607.9,0.8458033323287963,1.9,0,0,0,0
87.3,0.1,0.4,0,45,0.8104906201362609,1.2,1.3,6.7,0.3,0.6,0,0,0.3,2,2,1.8,14.6,50.9,461.6,0.7606097400188446,2.7,0,1.4,12.6,49.8,500.8,0.8265339732170105,1.9,0,2,2,1
22.5,0,0.2,0,12.5,0.2431026041507721,0.3,0.1,1.7,0.3,0.3,0,0,0.1,0,0,1.3,12.1,50.3,395.1,0.7672172069549561,1.9,0.1,1.3,15.9,59.7,551.4,0.8603797972202301,2.6,0,0,0,0
31.5,0,0.2,0,17.8,0.32612147331237795,0.3,0.1,2.2,0.3,0.4,0,0,0.2,0,0,1.4,11.7,50.9,395.7,0.7661001682281494,1.9,0.1,1.9,13.4,51,417.2,0.7998870253562927,2.7,0.1,0,0,0
40.5,0,0.2,0,19.8,0.4111214756965637,0.4,0.3,2.6,0.3,0.5,0,0,0.2,0,0,1.3,11.3,50.1,389.5,0.7594930768013001,1.8,0.1,1.4,13.1,46.7,429.5,0.7969464480876922,1.6,0.2,0,0,0
40.5,0,0.2,0,19.8,0.4111214756965637,0.4,0.3,2.6,0.3,0.5,0,0,0.2,0,0,1.3,11.3,48.2,382.1,0.7450699508190155,2.2,0.1,1.1,15.6,45.7,336.7,0.7424110054969788,3.9,0.4,0,0,0
40.5,0,0.2,0,19.8,0.4111214756965637,0.4,0.3,2.6,0.3,0.5,0,0,0.2,0,0,1.5,11.4,45.4,363.9,0.7366466164588928,2.7,0.1,2.2,12.5,41,321.8,0.7107874274253845,2.6,0,0,0,0
79.1,0.1,0.6,0.2,40.7,0.8631313920021058,1.4,0.3,8.3,1.1,1.7,0,0,0.2,4,3,0.7,13.5,59.5,560.6,0.8520664036273956,1.8,0.1,0.9,7.9,51.8,513.8,0.8469610691070557,1.1,0,2,1,0
76.1,0.1,0.6,0.1,36.1,0.8546068012714386,1.5,0.3,8.4,1.2,1.9,0,0,0.2,3,3,0.8,13.7,59.1,545.7,0.8451138496398926,2,0.1,1.9,10.4,46,421.9,0.8193220853805542,2,0.1,0,0,0
75.2,0.1,0.6,0.1,37.2,0.8596663236618042,1.6,0.2,8.9,1.2,2.1,0,0,0.2,4,2,0.9,14.5,56.4,517.7,0.8329131007194519,2.1,0.1,1.6,13.3,48.5,414.1,0.7875122368335724,2.3,0,1,0,0
75.8,0.2,0.9,0.1,38.4,0.8567496597766876,1.4,0.1,8.7,1.3,2.2,0,0,0.2,3,1,1,15.4,54.9,497.7,0.8227347552776336,2.1,0.1,0.9,13.1,45.1,367.6,0.7636061370372772,2.4,0.4,0,0,0
75.8,0.1,1,0.1,40.9,0.8627592742443084,1.4,0.2,8.3,1.3,2,0,0,0.2,4,2,1.1,14.8,56.8,513.9,0.8286220550537109,2.3,0.1,1.3,11.2,51,439.7,0.7954497992992401,2.3,0,2,0,0
13.1,0,0.3,0,8.5,0.510735297203064,0.3,0.2,2.8,0.1,0.5,0,0,0.1,0,0,2,12.6,56,509.3,0.8182909727096558,1.4,0,1,10.3,52.3,511.9,0.8635721445083618,2.3,0,0,0,0
12,0,0.2,0,8.1,0.435735297203064,0.2,0.2,2.5,0.1,0.3,0,0,0.1,0,0,2.1,12.8,55.9,509.4,0.8198362410068512,1.5,0,1.5,16.8,52.1,456.4,0.7716315031051636,2.1,0,2,0,0
13.1,0,0.3,0,8.3,0.48573529720306396,0.2,0.2,2.8,0.1,0.3,0,0,0.1,0,0,2.2,12.5,55.6,505.6,0.8186440348625184,1.3,0,1.7,12.6,50.7,503.2,0.8338267743587494,2.1,0,0,0,0
13.2,0,0.3,0,8.4,0.48573529720306396,0.2,0.2,3,0.1,0.4,0,0,0.1,0,0,2.1,13.5,56.6,505.8,0.8184914648532867,1.4,0,0.5,10.8,45.6,484.9,0.8491347014904023,1.4,0,0,0,0
15.2,0,0.3,0,9.2,0.48550000190734866,0.2,0.2,3.6,0.2,0.6,0,0,0.2,0,0,1.8,13.8,55.3,490.3,0.8085072696208954,1.6,0,1.1,14.2,49.8,442.8,0.7911778390407562,2.1,0.1,0,0,0
66.9,0,0.3,0.1,39.1,0.7986403822898864,1,0.9,5.8,0.6,0.3,0,0,0,2,2,1,11.6,50.6,472.3,0.8361029982566833,1.9,0.1,1.4,12.3,44.4,357.1,0.72792267203331,2.8,0,1,1,0
75.9,0,0.3,0.1,43,0.8832557678222657,1,1,6,0.6,0.3,0,0,0.1,0,0,1.2,11.7,49.9,459.5,0.82779101729393,1.8,0,1.2,12.2,43.6,390.8,0.7998269081115723,3.1,0.2,0,0,0
75.9,0,0.3,0.1,46.7,0.8750631511211395,0.8,1.1,4.9,0.5,0.4,0,0,0.1,2,2,1.2,11.8,50.4,462.2,0.8323840200901031,1.8,0,1.7,13.5,40.9,316.6,0.6991829454898835,2.5,0.3,0,0,0
68.2,0,0.2,0.1,43.8,0.9008696019649506,0.7,0.9,4.1,0.4,0.3,0,0,0.1,2,2,1.3,11.3,49.7,451.4,0.8190034091472626,1.8,0,0.9,13.2,56.1,501.9,0.8435776352882385,2.2,0.1,1,0,0
68.2,0,0.2,0.1,45.9,0.9092871129512787,0.8,0.8,4,0.5,0.3,0,0,0.1,2,2,1.4,11.8,50.9,462.6,0.825862056016922,1.7,0,1,9.5,59.3,585.4,0.8674619913101196,1.3,0,0,0,0
